Age
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
"[0.42,14.00]",77.0,45.0,32.0,0.08641975308641975,0.5844155844155844,0.15517241379310345,0.07547169811320754,0.07970071567989591,0.05967470288454539
"(14.00,19.00]",87.0,34.0,53.0,0.09764309764309764,0.39080459770114945,0.27241379310344827,0.20047169811320756,0.07194209499024071,8.443001297372723e-05
"(19.00,22.00]",67.0,19.0,48.0,0.07519640852974187,0.2835820895522388,0.33793103448275863,0.3136792452830189,0.02425178919973975,0.014455010432885593
"(22.00,25.00]",70.0,26.0,44.0,0.07856341189674523,0.37142857142857144,0.42758620689655175,0.41745283018867924,0.01013337670787251,0.00021768112667469138
"(25.00,28.00]",61.0,24.0,37.0,0.06846240179573512,0.39344262295081966,0.5103448275862069,0.5047169811320755,0.005627846454131391,0.00011238472268898002
"(28.00,32.00]",84.0,35.0,49.0,0.09427609427609428,0.4166666666666667,0.6310344827586207,0.6202830188679245,0.010751463890696256,0.0017903663462956333
"(32.00,36.00]",73.0,35.0,38.0,0.0819304152637486,0.4794520547945205,0.7517241379310344,0.7099056603773585,0.04181847755367596,0.012952510684070452
"(36.00,42.00]",66.0,25.0,41.0,0.07407407407407407,0.3787878787878788,0.8379310344827586,0.8066037735849056,0.03132726089785298,3.386452563718736e-05
"(42.00,50.00]",65.0,25.0,40.0,0.07295173961840629,0.38461538461538464,0.9241379310344827,0.9009433962264151,0.023194534808067657,7.87095005557862e-07
"(50.00,80.00]",64.0,22.0,42.0,0.0718294051627385,0.34375,1.0,1.0,0.0,0.0021104507219559137
nan section,177.0,52.0,125.0,0.19865319865319866,0.2937853107344633,1.0,1.0,0.0,0.030542061735418014
Fare
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
"[0.00,5.86]",94.0,25.0,69.0,0.10549943883277217,0.26595744680851063,0.07309941520467836,0.12568306010928962,0.05258364490461126,0.028497336970784208
"(5.86,7.23]",89.0,25.0,64.0,0.09988776655443322,0.2808988764044944,0.14619883040935672,0.24225865209471767,0.09605982168536095,0.020291181838673327
"(7.23,7.75]",107.0,34.0,73.0,0.12008978675645342,0.3177570093457944,0.24561403508771928,0.37522768670309653,0.12961365161537725,0.009757829952052197
"(7.75,7.90]",85.0,16.0,69.0,0.09539842873176206,0.18823529411764706,0.29239766081871343,0.5009107468123861,0.2085130859936727,0.07797079418276147
"(7.90,8.05]",83.0,19.0,64.0,0.0931537598204265,0.2289156626506024,0.347953216374269,0.6174863387978142,0.2695331224235452,0.04522539051275273
"(8.05,10.50]",111.0,37.0,74.0,0.12457912457912458,0.3333333333333333,0.45614035087719296,0.7522768670309654,0.29613651615377246,0.005849008208356153
"(10.50,13.00]",92.0,42.0,50.0,0.10325476992143659,0.45652173913043476,0.5789473684210527,0.843351548269581,0.2644041798485284,0.009485884289810264
"(13.00,26.29]",62.0,35.0,27.0,0.06958473625140292,0.5645161290322581,0.6812865497076024,0.8925318761384335,0.21124532643083116,0.03895474930613552
"(26.29,33.91]",89.0,57.0,32.0,0.09988776655443322,0.6404494382022472,0.847953216374269,0.9508196721311475,0.10286645575687847,0.11386317419702015
"(33.91,128.08]",79.0,52.0,27.0,0.08866442199775533,0.6582278481012658,1.0,1.0,0.0,0.11610480871314134
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
family
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,537.0,163.0,374.0,0.6026936026936027,0.30353817504655495,0.4766081871345029,0.6812386156648452,0.2046304285303423,0.07309765035157914
1.0,161.0,89.0,72.0,0.18069584736251404,0.5527950310559007,0.7368421052631579,0.8123861566484517,0.07554405138529385,0.088457466841817
2.0,102.0,59.0,43.0,0.11447811447811448,0.5784313725490197,0.9093567251461988,0.8907103825136612,0.018646342632537616,0.07437509295250201
3.0,29.0,21.0,8.0,0.03254769921436588,0.7241379310344828,0.9707602339181286,0.9052823315118397,0.06547790240628892,0.06736104509055846
4.0,15.0,3.0,12.0,0.016835016835016835,0.2,0.97953216374269,0.9271402550091075,0.05239190873358257,0.011947599332361208
