feature,iv,ks
f45,1.8441397407879665,0.613699549419998
f145,1.8441397407879665,0.613699549419998
f0,1.5867092770945295,0.5765986003259514
f38,1.539350565732648,0.5750647109577222
f78,1.539350565732648,0.5750647109577222
f133,1.5107448720013472,0.5748250407439364
f16,1.5529908043792564,0.5725721407343496
f23,1.5640901641257545,0.5689770875275622
f86,1.5365708328551977,0.5674911322020899
title_Mr,1.404650879580834,0.5573291151375708
f69,1.4767099864744055,0.5525836449046113
f101,1.4767099864744055,0.5525836449046113
f98,1.46138051063028,0.5522001725625538
f63,1.434155406247215,0.5514332278784393
f153,1.3984361099401035,0.5384431022912473
f8,1.4020859359621762,0.5380116959064327
Sex_male,1.3416814135556492,0.5337455661010451
Sex_female,1.3416814135556492,0.5337455661010448
f193,1.720347222123117,0.5096347425941904
f223,1.735242938493239,0.5085322596107755
f124,1.1983529485180382,0.5008148787268718
f9,1.5699581405734315,0.48844789569552294
f53,1.5699581405734315,0.48844789569552294
f150,1.141599156077376,0.48408589780462086
f34,1.138864295601305,0.4717668488160291
f110,1.0714139441932624,0.46165276579426706
f22,1.8071311821312555,0.45436679129517776
f15,1.8071311821312555,0.45436679129517776
f30,1.8071311821312555,0.45436679129517776
f214,0.8943267599771062,0.4476560253091746
f5,1.8001353342819413,0.4444923784872016
f172,0.8463071179578285,0.44156840187901447
f74,1.7830916544586264,0.44156840187901447
f106,1.7491946766686062,0.43572044866264026
f41,1.7491946766686062,0.43572044866264026
f66,1.7323408677095404,0.43279647205445304
sexpclass_male3,0.8275142134485558,0.40902118684689864
f93,1.6458261081843573,0.4083021762055411
f49,0.8253076648804631,0.3934426229508196
f162,0.7814734577364778,0.3723995781804237
f175,1.4991234311602715,0.37211197392388073
f141,0.7461202776077093,0.3713450292397661
f266,0.5556901485323253,0.36314830792829067
f351,0.554543991424859,0.3508771929824561
f253,0.6281731915831938,0.3362573099415205
Pclass_3,0.4518713131593065,0.3296424120410315
f179,0.5485612449725161,0.32921100565621697
f168,0.5468171425022536,0.3154539353849104
f113,0.682862111533988,0.3101811906816221
f301,0.4599882525931994,0.2965199884958297
Fare,0.4660001581714873,0.29613651615377246
f58,0.6982195028143747,0.29129517783529857
f336,0.5046699910632195,0.2853992905761672
f197,0.32872844462271233,0.2823315118397085
f130,0.5252484038040007,0.27619595436679123
f136,0.5252484038040007,0.27619595436679123
f119,0.40425389666838835,0.274949669255105
f186,0.4522904150573358,0.27226536286070363
f357,0.49298219444526853,0.2718339564758892
title_Miss,0.45250343278928445,0.2711628798772888
sexpclass_female1,1.0918339499812646,0.2606173904707123
f355,0.8443136654618518,0.2602818521714122
Pclass_1,0.34096601933555615,0.2519413287316652
f114,0.4429245772028302,0.2500239670213785
f131,1.3019863044034115,0.24964049467932126
f117,1.3019863044034115,0.24964049467932126
f82,1.3019863044034115,0.24964049467932126
f90,1.3019863044034115,0.24964049467932126
f57,0.41387983756193947,0.24671651807113415
f140,1.26385283766769,0.24379254146294693
title_Mrs,0.5092990784278651,0.24211484996644617
f310,0.33892017406444586,0.24053302655545972
f318,0.23533536903881438,0.23943054357204485
f309,0.2654205071070557,0.23938260952928767
f288,0.25800660650415924,0.2375131818617583
f207,0.23676182903822468,0.23746524781900102
f170,1.207113813640203,0.2350206116383855
f161,0.5424709369507785,0.23037100949094047
f255,0.2239722375136194,0.23013133927715462
f326,0.2565384492440336,0.2198255200843639
f287,0.19770924218919506,0.21685360943341964
f285,0.5896880295756696,0.21680567539066242
f182,0.3751513595803527,0.21618253283481925
f137,0.05124927805449096,0.21345029239766078
f289,1.0402932447554711,0.20870482216470132
f188,0.04830738610814679,0.20760233918128657
f159,0.36674278990048986,0.20491803278688525
f81,0.6027586822128683,0.20472629661585662
f89,0.6027586822128683,0.20472629661585662
family,0.3513327133574521,0.2046304285303423
f225,0.04271536795185459,0.19590643274853803
sexpclass_female2,0.6099314501461152,0.19374940082446557
f284,0.23828603311049484,0.18401879014476086
f368,0.13498818269339263,0.18258076886204588
f224,0.5473695810116855,0.1791295177835298
f203,0.843653536402246,0.17654107947464281
f194,0.5350678291486045,0.1762055411753427
f118,0.13195772012583412,0.17323363052439844
f157,0.3244204569308278,0.16709807305148117
f354,0.33055444360231606,0.16604352411082346
f198,0.21666807396404553,0.16585178793979483
f158,0.16183590692324412,0.16311954750263635
f339,0.028196107227088076,0.16081871345029242
f196,0.028196107227088076,0.16081871345029242
f238,0.11921663983200297,0.16057904323650662
f50,0.39568513205008726,0.15914102195379154
f173,0.5655860609820673,0.15827820918416258
f120,0.5655860609820673,0.15827820918416258
f230,0.24950031271772316,0.15549803470424695
f362,0.5517961204523726,0.15535423257597547
SibSp_1,0.12356453564387647,0.15080049851404465
f348,0.19045963901381052,0.14658230275141404
f210,0.17464501406645067,0.14500047934042748
Embarked_S,0.10046136918305051,0.1432748538011696
f109,0.3932548188441752,0.1411178218770971
f249,0.6060812515064874,0.135605406960023
Embarked_C,0.11621983352909439,0.13531780270347993
f228,0.07592682367344497,0.13129134311187807
Parch_0,0.08971808134998438,0.12927811331607708
f299,0.27436646971957523,0.1288946409740197
f262,0.38836451630380897,0.12721694947751894
f313,0.4183137449475053,0.12611446649410407
f316,0.09180672710896363,0.12553925798101817
f215,0.17942026450919202,0.1251557856389608
f250,0.4623440409485629,0.12501198351068932
f352,0.1348765698851968,0.12453264308311762
f211,0.22672846161774812,0.1206979196625444
sexpclass_male2,0.15487833529848757,0.11604831751509925
f10,0.11089756121275125,0.11432269197584122
f6,0.11089756121275125,0.11432269197584122
f54,0.11089756121275125,0.11432269197584122
f20,0.11089756121275125,0.11432269197584122
f67,0.11089756121275125,0.11432269197584122
f75,0.11089756121275125,0.11432269197584122
SibSp_0,0.05599948330088644,0.11091937494008242
f280,0.28774415133314374,0.10785159620362383
f200,0.28774415133314374,0.10785159620362383
f229,0.049719623447863404,0.10751605790432373
f143,0.3795623765587428,0.10746812386156657
f248,0.3661039603095288,0.10454414725337935
f338,0.35274753962877103,0.10162017064519224
f195,0.35274753962877103,0.10162017064519224
f304,0.1058765103507669,0.10109289617486339
f333,0.21521899381209203,0.09946313872111978
f216,0.25563717819183396,0.0990796663790624
f231,0.12970940493413566,0.09845652382321923
f31,0.062930345543427,0.09768957913910459
f107,0.0714037594408417,0.0964912280701754
f269,0.24514365894337534,0.0961556897708753
f277,0.059979240162038865,0.09605982168536095
Parch_1,0.073567324259181,0.09351931741923114
f91,0.0756734361901135,0.09313584507717387
f286,0.31331340881777414,0.09284824082063081
f95,0.07023535023921113,0.09169782379445879
f264,0.05711369004349989,0.091458153580673
f184,0.35532883378187746,0.08882178122902884
f251,0.35532883378187746,0.08882178122902884
f33,0.1386574732971221,0.08843830888697157
f166,0.19249781878978775,0.08666474930495638
f144,0.22809793260257877,0.086281276962899
f199,0.34053922488710736,0.08589780462084173
f300,0.34053922488710736,0.08589780462084173
f212,0.27488714700237754,0.08407631099606949
f257,0.07014339931536497,0.08321349822644042
f27,0.11573760054522997,0.08306969609816894
f83,0.11573760054522997,0.08306969609816894
f43,0.11573760054522997,0.08306969609816894
f142,0.18093806216568928,0.08302176205541179
f221,0.3258687508670595,0.08297382801265452
f176,0.23542981074081906,0.08225481737129714
f165,0.13125387504686406,0.08225481737129714
f306,0.23542981074081906,0.08225481737129714
f237,0.11692550493821537,0.08196721311475419
f334,0.26231633996716747,0.08115233438788227
Age,0.12197425028815115,0.07970071567989591
f259,0.13385039747070931,0.07937877480586719
