feature,iv,ks
sexpclass,2.239221714146896,0.5313795046911779
f12,1.7560034074464217,0.4443026224181945
f7,1.7560034074464217,0.4443026224181945
f19,1.7560034074464217,0.4443026224181945
f25,1.7507834298179927,0.4322182806749991
f2,1.7092463863805407,0.4250240360706826
f68,1.6944869812938905,0.43351125551171965
f38,1.6741728330687264,0.4299141332095614
f156,1.6708649808072642,0.4057454497231707
f60,1.6500953927007063,0.4021483274210125
f47,1.647644830055636,0.41423266916420776
f32,1.6070419568242804,0.40703842455989125
f147,1.4746940563720452,0.5696051453767862
f124,1.4643214954760868,0.5077081192189106
f100,1.4632093190539994,0.5671352319066406
f16,1.4399465078639428,0.5529788151045985
f154,1.438638661256583,0.5560123329907503
f115,1.38882640560609,0.5525809766932999
f87,1.3703789119442484,0.5381427576832543
title,1.363046863274071,0.32016046149255706
f51,1.3290656912154897,0.5269038225640685
f65,1.3290656912154897,0.5269038225640685
f6,1.3290656912154897,0.5269038225640685
Sex,1.3221335574678796,0.5313795046911779
f23,1.3116437728907813,0.5276331929847827
f36,1.3087834556928588,0.5306667108709346
f29,1.3087834556928588,0.5306667108709346
f112,1.2916462808780695,0.3374001259821636
f11,1.2861511173826998,0.526058415940059
f57,1.2747712375296194,0.5267877863607732
f280,1.26927254319184,0.5326227497264862
f240,1.265634543285369,0.25309153598779954
f104,1.1977231495586367,0.2423001690813248
f74,1.1977231495586367,0.2423001690813248
f253,1.1977231495586367,0.2423001690813248
f134,1.1977231495586367,0.2423001690813248
f52,1.1977231495586367,0.2423001690813248
f128,1.175271688499327,0.23870304677916643
f131,1.167396577903449,0.5089016344528065
f80,1.136520740774104,0.49278917879521267
f82,1.1306502890022114,0.23150880217484993
f285,1.1258060959585892,0.4110333852733481
f150,1.0641524519849916,0.4554420979345556
f119,1.0207662380498739,0.21352319066405856
f271,0.9607360608177191,0.4315552166561682
f345,0.9520363425912616,0.38512415873752603
f277,0.9490700623435114,0.4240791698438484
f94,0.9452750119038443,0.4331299937008918
f159,0.9324163574546168,0.4243609720518516
f167,0.9321154538850596,0.43470477074561553
f110,0.9269495472315387,0.46265291913934287
f140,0.9222648027377764,0.4616417465106256
f163,0.9133363106517262,0.1955375791532672
f193,0.8704927921146307,0.242581971289328
f43,0.8056028428626453,0.3928157013559659
